category,task,confidence,original_review
netcode/desync,optimize server synchronization,0.95,"game is alright, but desync is a major issue and the higher tiered weapons are so unbelievably unbalanced they don't even feel fair to use, might be an unpopular opinion but I also don't find the 3rd person perspective PvP fun and leads to really stale fights, feels really good when you shoot someone behind the wall because they peeked to shoot you, and you shot after they got behind cover but this is the wanted universe so you curved your bullet and headshot them 3 times behind cover. PvE is really good tho, but this isn't a PvE game now is it"
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,A comprehensive and immersive environment unfortunately plagued by glaring shortcomings that diminish any potential for long-term enjoyment.
netcode/desync,optimize server synchronization,0.9,My mate raged soo much he unplugged his PC while playing. 10/10 RAGE BAIT GAME.
netcode/desync,Optimize server synchronization to reduce desync and improve overall stability.,0.8,"The amount of hacks in this game is insane . and for those saying none exist there the ones hacking Ive been shown multiple hacks, including one that shows where everyone is at all times on maps and what gear they have if they are legendary on anything you will show that color so hackers hunt those people they use the same hack to know exactly what crates to loot there auto aimeres there is shield hacks to double shield strength it is just out of control !"
performance/fps,Optimize AI behavior and rebalance weapon damage curves to improve fairness in multiplayer matches.,0.95,Game is bad. AI is too strong. 3 vs 1 with stuns and full autos. Not worth playing in that situation. Game was so much better during the server slam.
other,Improve gameplay mechanics and add more customization options,0.8,"I recently played this game and I have some thoughts on it. Overall, I really enjoyed my experience playing this game. The graphics were stunning and the gameplay was smooth. However, there are a few things that could be improved to make the game even better."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"First time i downloaded it I got 'can't launch due to Corrupted files ' message., So i uninstalled reinstalled. Now i can play. I played 3 matches no problem. Although now 6 times in a row . People have been using a hack where screen goes black and then your away from them or match is over you can see again. There is also the lag hack which lags you 'even lagging you out of the game'. It was fun up until that point , no point in playing now."
social experience,Add ability to kick uncooperative players from squad,1.0,"Great game, Add the ability to kick useless cunts from your squad that do not want to cooperate."
weapon/ai balance,"Balance the focus between PvP combat and looting, improve extraction mechanics to reduce camping, and adjust booby trap placement.",0.8,This is a review of a game.
other,Improve player trust and safety features,0.8,"Watch your back, only trust those who approach declaring don't shoot and are unarmed. And even then, keep a close eye on them."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"The 5 hours I've played, I can't even play with friends. Whenever my friend joins it doesn't even say he's in the party. People get good stuff playing solo and then go into groups to grieve spawn. Horrible experience. Good luck even trying to get matchmaking to work."
weapon/ai balance,rebalance weapon damage curves,0.9,"I love this game! The graphics are amazing and the gameplay is so fun. However, I do have a few issues with some of the weapons. They feel too powerful and unbalanced."
netcode/desync,optimize server synchronization,1.0,great game however the game starting crashing every game after about 40 hours of gameplay with no reason. Didn't update anything.
pvp experience,Add a camera give-away feature to reduce camping behavior,1.0,"Suffers the same issue that any third-person pvp game will have, many matches consist of somebody who got to the high-loot zone first holding an angle until you walk into them. Even longer distance fights are just a camp-fest with your opponent just watching you with your camera until the first man who gets impatient makes a move and loses. Needs to add some sort of camera give-away otherwise this may grind you down like it did with me, if you're used to more skill-based pvp action. Graphics, sounds and optimisation are all great though."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,Good foundation but missing a lot of important QOL features as well as some game breaking server issues. Its basically Tarkov but without needing it to be a full time job to get decent/good gear. Doesn't have duo queue right now which means you end up fighting 2v3 every raid and burn your kits.
netcode/desync,optimize server synchronization,1.0,Crashes
netcode/desync,Optimize server synchronization,0.8,"I cannot in good conscience recommend this game, despite its fun gameplay and environments. The use of AI for voicelines is not something I can look past, even if it appears more nuanced and ethical than most others who use it. We know of the use of it for voices, but we don't know where else it may be used. We have promises that that is all and that it was done with the VA's consent. But promises are just words. Eventually, someone will ask 'what else can we use it on?'"
netcode/desync,optimize server synchronization,0.9,"Game bad. PvP is just purely dog shit, dont even get me started on the worst desync known to man. I could literally live a round and spawn into the next one and get shot by a guy from previous round."
weapon/ai balance,Improve gameplay balance,0.8,Don't Shoot
netcode/desync,optimize server synchronization,0.95,"game is good but the servers are shitty , picks random players and makes umplayable by either crashing or losing connection to the server back to back  , fix your servers or close them for maintenance at least , or just close the game entirely"
pve/mission loop,Improve extraction zone design to prevent friendly fire and improve loot distribution.,0.8,This game is very very bad i had legendary and epic loot and my friends killed me and pushed me out of the extraction zone. Never playing again.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Game's fun af.. When it works. For whatever reason I lose connection to the game within 30 seconds of reconnecting, and given the pvp nature of this game, by the time i reconnect I am dead. My friends do not have those issues apparently so you think it's an issue with my pc or connection, right? Well a quick google search showed that many people are having the same issues as me, several ""workarounds"" being available. I just find it mad to spend £40 on a game and not be able to just install and play it out of the box. I am so tired of games being riddled with game breaking issues, to just magically make the game usable 1 year after release."
netcode/desync,Optimize server synchronization to reduce lag and improve responsiveness.,0.8,"I’m a big fan of extraction shooters. I’ve got a few hundred hours in both Tarkov and Delta Force. I’ve also spent a decent amount of time with smaller titles like Level Zero: Extraction, Arcane Legends, and Shadowgun Warriors."
netcode/desync,optimize server synchronization,0.9,"Awesome atmosphere, sound design, game design, lore, gun feeling. The players interaction are very primal & makes the encounters tense in a good way. The game design encourage to work together."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Ever wanted to get shot for minding your own fucking business? This is the game for yo Broken weapons, hackers galore, and a community that somehow manages to be more toxic than Rivals currently makes for an all around shitty experience. And on the off chance you actually have fun, karma will soon round the corner and you'll have the worst experience of your life for the next two hours. Don't fucking buy it."
netcode/desync,Optimize server synchronization for Step-Arc game mode to prevent player getting stuck.,0.95,UGGGGH IM STUCK STEP-ARC
netcode/desync,Optimize server synchronization and improve teamwork features.,1.0,Needs better tickrate and duos-mode
netcode/desync,Optimize server synchronization,0.9,"After exit game, Arc still remains in task manager and have to end task. Negative review until fix this problem."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"probably the most overhyped pile of trash i've played since greyzone. between the clunky movement, desync and nothing to work towards other than mindlessly do quests. Id rather spend my time grinding my nuts into dust"
weapon/ai balance,rebalance weapon damage curves,0.8,I get pvp is apart of the game but the pvp system is just dogshit
netcode/desync,optimize server synchronization,0.95,Game was fun first week but it is unplayable now due to desync. The game shows you in two locations at once and zooms back and forth between the two so you cannot do anything. It didn't do this before this last patch so hopefully they can figure it out and I can play it again because its a fun game minus the game breaking bug.
netcode/desync,optimize server synchronization,0.8,a great extraction shooter for 3rd person and majority PvE. it gets ruthless above ground. i will play 5 games loot and leave no problem. but on that 6th game out of nowhere i have 2 squads pooping down my neck at the same time. STAY GREEN AND STAY MEAN!
netcode/desync,Optimize server synchronization,1.0,"Enlist, or Scrappy the rooster will eternally peck your GPU regrets."
social experience,Add Arabic language support,1.0,لا يوجد لغة عربية
pve/mission loop,Add PvE only mode,1.0,"Add a PvE only mode, im sick of fucking loser bitches killing me cause all shooters have to be competative. Helldivers is probably the best game ever, this game is fucking shit disguised as a good game. Fuck everyone who made this."
weapon/ai balance,Improve multiplayer balance to reduce random deaths from sniping.,0.8,"I played solo for a couple hours and people just whack you as you're trying to exit. It isn't fun spending so much time looting, then just dying by some random sniping you from 4 screens away. I wish this game was more PvE, as it does have great game mechanics."
netcode/desync,Optimize server synchronization to reduce lag and improve control responsiveness.,0.8,I was not impressed with this game. It felt like a racket/ I would rather it was free to play then after I buy the game it hits me up for more money. If you are selling a game your going to learn an increasing number of people don't want to buy in-game funding just to get stuff. Hard pass on this one... Also had control issues where the game kept glitching back and forth between mouse or controller.
netcode/desync,Optimize server synchronization,0.8,"I want to like this game, but every time I'm having fun the game finds a way to ruin it."
netcode/desync,optimize server synchronization,1.0,Easily one of the most fun games I've played in the last 10 years. However it has 1 glaring problem that destroys everything that is fun about it once you've played it for a little.
netcode/desync,optimize server synchronization,0.9,get da game it's pretty fun but there are some shooting issues that devs need to fix.
netcode/desync,Optimize server synchronization and rebalance weapon damage curves to improve PvP experience.,0.8,"Game is honestly just not fun, I've grinded the game since launch, at the start players played more aggressive, pvp was more fun, but lately its just rats everywhere treating the game like tarkov, ruins the whole experience. Not to mentions the tasks don't add much meaning to the game they finish very quickly and give meaningless rewards, so apart from grinding money runs, or wasting your time searching for a fair pvp fight there is not much to do in the game."
netcode/desync,optimize server synchronization,1.0,fix desync pls
netcode/desync,optimize server synchronization,0.8,"Raider - lets shot this clanker from 2000km 
 Leaper - oh really 
 Raider - oooh shiiit heeeelp"
netcode/desync,optimize server synchronization,0.9,"Game is great, i want it to succeed. But my review will stay forever negative if they can't fix the disconnect issues every 30 seconds. Its not just me, its all over online."
netcode/desync,optimize server synchronization,0.9,"PvE design is great. AbsoluteCinema/10
PvP design, not so much. 3rd person peeker's advantage combined with ATROCIOUS desync issues makes any PvP encounter very frustrating. 5/10"
weapon/ai balance,Implement optional PvP mode or improve balance of gear sets and player levels for PvP play.,0.8,"Game definitely needs a PvE only mode... the second I run across other players I don't stand a chance with crappy limited gear sets, vs those at higher levels. Although I really enjoy playing against enemies, the player vs player elements are simply frustrating and with most of the others at a far higher level, this is simply not enjoyable at all. Make PvP optional, as this is sadly not enjoyable as it stands, despite a good premise and potential."
netcode/desync,optimize server synchronization,1.0,"untill the server problems is fixed i will not recommend this game, in no other game do i have this much stutter, freezing and other bullshit"
netcode/desync,optimize server synchronization,0.9,"Cool game, got shoot in the back by players few times while i was crashing out on ARCs lol, might come back later if they will make a mode where you can only shoot arc and not each others. (Got the deluxe version but nothing worth buying in the store)"
weapon/ai balance,Improve PvP balance by adjusting Suturer's damage and making arcs less common in PvP battles.,0.8,"Game is amazing. Community is fun, roleplay and often friendly. Power of arcs (enemies in pve) is the best point because players have to think if they play solo/pvp/team. A pvp battle with arcs near, can be a game changer :) . Many interactions with surprises and unknow elements. Maps are beautiful and great. Stuff is interesting. I like a lot."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves, improve matchmaking algorithm",0.8,"Bought the game as per my best buddies request. Would refund 10/10 if i didn't pass the ""play for 30seconds"" steam allows you before revoking refunds."
netcode/desync,optimize server synchronization,0.8,Neuron Activation.
netcode/desync,optimize server synchronization,0.9,got stuck in an animation while trying to get supplies and i ended up losing all my shit cus i could not move
